numero_de_muestra,numero_de_experimento,tratamiento,temperatura,peso_humedo_g,buffer_ml,volumen_de_reaccion_ul,concentracion_g_ml,pendiente,pendiente_2
Hf100U,3,24,18,0.093,0.9299999999999999,20,0.1,0.0331,2.6607717041800636
Hf100U,3,24,18,0.093,0.9299999999999999,10,0.1,0.0145,2.3311897106109325
Hf100U,3,24,32,0.093,0.9299999999999999,20,0.1,0.1431,11.503215434083602
Hf100U,3,24,32,0.093,0.9299999999999999,10,0.1,0.0653,10.498392282958198
Hf101U,3,30,18,0.114,1.1400000000000001,20,0.09999999999999999,0.0354,2.845659163987139
Hf101U,3,30,18,0.114,1.1400000000000001,10,0.09999999999999999,0.0155,2.491961414790997
